"id","season","comment","subtype","elapsed","player1","player2"
1729,"2008/2009","n","header","22","37799","38807"
1729,"2008/2009","n","shot","24","24148","24154"
1730,"2008/2009","n","shot","4","26181","39297"
1731,"2008/2009","n","distance","83","30853","30889"
1732,"2008/2009","n","shot","4","23139","36394"
1732,"2008/2009","n","shot","10","23139","37277"
1732,"2008/2009","n","volley","47","127857","34466"
1733,"2008/2009","n","header","47","26165","23354"
1733,"2008/2009","p","penalty","64","40198",
1733,"2008/2009","n","shot","69","23264","24658"
1733,"2008/2009","n","header","74","23264","23782"
1733,"2008/2009","n","shot","76","23264","23782"
1733,"2008/2009","n","shot","90","46403","45431"
1734,"2008/2009","n","distance","22","30342","23916"
1734,"2008/2009","n","direct_freekick","45","24011",
1734,"2008/2009","n","header","65","24160","24011"
1734,"2008/2009","n","shot","67","30646","24136"
1734,"2008/2009","n","shot","90","37764","23921"
1735,"2008/2009","dg","disallowed","32","24166",
1735,"2008/2009","n","shot","71","24166","35608"
1735,"2008/2009","n","shot","86","38491","33128"
1735,"2008/2009","o","own-goal","90","38899",
1736,"2008/2009","n","distance","34","26454","23933"
1736,"2008/2009","n","header","41","23934","23783"
1736,"2008/2009","n","header","45","34261","23931"
1736,"2008/2009","n","header","90","38755","23371"
1737,"2008/2009","n","header","9","34248","24843"
1737,"2008/2009","n","distance","23","39073","34430"
1737,"2008/2009","n","shot","82","23563","23034"
1738,"2008/2009","n","shot","12","30630","30699"
1738,"2008/2009","n","header","26","37804","30686"
1738,"2008/2009","p","penalty","45","30631",
1738,"2008/2009","n","distance","89","30686","30367"
1739,"2008/2009","n","shot","14","30893","40945"
1739,"2008/2009","n","shot","30","30893","27430"
1740,"2008/2009","n","distance","13","23760","30818"
1740,"2008/2009","n","header","37","30616","30843"
1740,"2008/2009","n","header","46","38835","30843"
1740,"2008/2009","n","shot","64","30960","26181"
1740,"2008/2009","n","shot","68","23949",
1740,"2008/2009","n","shot","68","30843","30960"
1740,"2008/2009","n","shot","89","30818",
1740,"2008/2009","n","shot","90","30895",
1741,"2008/2009","p","penalty","53","35608",
1741,"2008/2009","n","shot","90","24393","42183"
1742,"2008/2009","n","header","90","39618","36012"
1743,"2008/2009","n","shot","3","30631",
1743,"2008/2009","n","shot","50","37804",
1743,"2008/2009","n","shot","75","30679","30911"
1744,"2008/2009","n","header","73","38755","25668"
1745,"2008/2009","p","penalty","76","30618","30618"
1746,"2008/2009","n","shot","30","24136","34947"
1746,"2008/2009","n","shot","45","30357","23282"
1746,"2008/2009","n","shot","65","23782","38807"
1746,"2008/2009","n","shot","87","23264","23354"
1746,"2008/2009","n","direct_freekick","90","30842",
1747,"2008/2009","p","penalty","10","24205",
1747,"2008/2009","n","header","42","37799","25518"
1747,"2008/2009","n","shot","65","27267","40055"
1748,"2008/2009","n","shot","11","31907","24781"
1748,"2008/2009","n","shot","60","31907","24843"
1749,"2008/2009","n","shot","3","30893","27430"
1749,"2008/2009","n","header","23","26143","23022"
1749,"2008/2009","n","shot","29","34944","27430"
1749,"2008/2009","dg","disallowed","40","30829",
1749,"2008/2009","n","header","44","30893","40945"
1749,"2008/2009","n","shot","57","30865","30829"
1749,"2008/2009","n","shot","69","32577",
1749,"2008/2009","p","penalty","82","39073",
1750,"2008/2009","n","shot","3","37139","24635"
1750,"2008/2009","o","own-goal","69","30617",
1750,"2008/2009","n","shot","90","40755","23949"
1751,"2008/2009","n","header","87","30735","24006"
1752,"2008/2009","n","shot","21","24747","30734"
1752,"2008/2009","n","direct_freekick","82","38491",
1753,"2008/2009","n","distance","60","37799","24205"
1753,"2008/2009","n","shot","83","37799","33852"
1754,"2008/2009","n","shot","77","23937","23932"
1754,"2008/2009","o","own-goal","88","24211",
1755,"2008/2009","p","penalty","13","34947",
1755,"2008/2009","n","shot","55","32570","27267"
1755,"2008/2009","n","distance","62","27267","24664"
1755,"2008/2009","n","distance","89","38711",
1756,"2008/2009","p","penalty","45","127857",
1756,"2008/2009","n","shot","82","38820","30830"
1756,"2008/2009","n","shot","90","34466","25150"
1757,"2008/2009","n","header","11","38755","25668"
1757,"2008/2009","n","header","73","23333","25668"
1757,"2008/2009","n","deflected","90","31291","30613"
1758,"2008/2009","n","loose_ball","27","26564","30630"
1758,"2008/2009","n","shot","30","37804","26564"
1758,"2008/2009","n","shot","45","37804","30679"
1758,"2008/2009","n","header","51","30631","30630"
1758,"2008/2009","n","shot","53","37804","30679"
1759,"2008/2009","dg","disallowed","9","27430",
1759,"2008/2009","n","deflected","22","26181",
1759,"2008/2009","n","distance","48","26181","30613"
1759,"2008/2009","n","shot","90","38994",
1760,"2008/2009","n","shot","34","24635","30618"
1760,"2008/2009","n","shot","43","24635","34222"
1760,"2008/2009","n","shot","90","37442","37139"
1761,"2008/2009","n","shot","4","33418","17866"
1761,"2008/2009","n","distance","51","40987","38820"
1761,"2008/2009","p","penalty","90","30348",
1762,"2008/2009","n","shot","63","109898","24223"
1762,"2008/2009","n","header","83","33086","30735"
1762,"2008/2009","n","deflected","85","30735","25666"
1762,"2008/2009","n","distance","87","30735","30876"
1763,"2008/2009","n","shot","34","42183",
1763,"2008/2009","n","header","37","23283","38807"
1763,"2008/2009","n","shot","88","42183",
1764,"2008/2009","n","loose_ball","16","33974","30340"
1764,"2008/2009","n","shot","29","23949","31097"
1764,"2008/2009","n","shot","64","23949","30818"
1765,"2008/2009","n","deflected","40","37804","25925"
1765,"2008/2009","n","shot","68","37804","30631"
1766,"2008/2009","n","shot","23","31907",
1766,"2008/2009","n","shot","57","24225","37799"
1766,"2008/2009","p","penalty","66","30338",
1767,"2008/2009","n","shot","50","24372","23783"
1769,"2008/2009","n","direct_freekick","4","30893",
1769,"2008/2009","n","shot","45","34944","30893"
1769,"2008/2009","n","shot","49","27430","38817"
1769,"2008/2009","n","distance","84","113836","111975"
1769,"2008/2009","n","direct_freekick","89","30893",
1770,"2008/2009","npm","saved","20","23354",
1770,"2008/2009","o","own-goal","70","31291",
1770,"2008/2009","n","shot","80","23264","43280"
1772,"2008/2009","n","shot","8","24393","30892"
1772,"2008/2009","n","header","65","24160","24011"
1773,"2008/2009","n","distance","3","24890",
1773,"2008/2009","n","loose_ball","80","30619",
1773,"2008/2009","n","shot","87","37799","29581"
1773,"2008/2009","n","header","89","24230","37684"
1774,"2008/2009","n","header","45","19020","23916"
1774,"2008/2009","n","bicycle_kick","49","30988",
1774,"2008/2009","n","shot","71","33418","38802"
1775,"2008/2009","n","deflected","33","24020",
1775,"2008/2009","n","shot","70","31907","24020"
1775,"2008/2009","n","shot","81","24157","23760"
1776,"2008/2009","n","header","28","37139","34222"
1776,"2008/2009","dg","disallowed","45","23783",
1776,"2008/2009","n","header","73","30618","30853"
1777,"2008/2009","n","distance","34","25925",
1777,"2008/2009","n","shot","38","37804","30679"
1777,"2008/2009","n","shot","45","37804","31906"
1778,"2008/2009","n","shot","14","26143",
1778,"2008/2009","n","shot","37","24213",
1778,"2008/2009","n","shot","45","24213","33963"
1778,"2008/2009","n","direct_freekick","60","39073",
1780,"2008/2009","n","deflected","20","30966","30966"
1781,"2008/2009","n","shot","9","40755","30895"
1783,"2008/2009","n","header","8","26454","24372"
1783,"2008/2009","n","shot","10","24372","26454"
1783,"2008/2009","n","shot","77","24167","24166"
1783,"2008/2009","n","shot","78","34261","35532"
1784,"2008/2009","n","loose_ball","45","24213",
1784,"2008/2009","n","shot","56","33974","30367"
1784,"2008/2009","p","penalty","90","51553",
1785,"2008/2009","n","header","20","30830","26108"
1785,"2008/2009","n","header","54","34275","26066"
1785,"2008/2009","n","distance","63","34036",
1785,"2008/2009","o","own-goal","88","24630",
1786,"2008/2009","n","header","84","23314","35467"
1787,"2008/2009","n","shot","51","24841","35327"
1788,"2008/2009","dg","disallowed","55","30630","30630"
1790,"2008/2009","n","shot","11","33418","38802"
1790,"2008/2009","n","header","18","24372","26454"
1790,"2008/2009","n","shot","21","23783",
1790,"2008/2009","dg","disallowed","30","33418",
1790,"2008/2009","n","shot","39","34261","23783"
1790,"2008/2009","n","shot","55","34261","23933"
1791,"2008/2009","n","deflected","51","36012","24011"
1793,"2008/2009","dg","disallowed","83","35608","35608"
1794,"2008/2009","n","loose_ball","42","30829","34944"
1795,"2008/2009","n","header","49","30830","34036"
1795,"2008/2009","n","shot","53","30348","38820"
1795,"2008/2009","n","header","62","23170","23916"
1795,"2008/2009","n","distance","67","23913",
1795,"2008/2009","n","loose_ball","79","24653",
1796,"2008/2009","n","shot","45","23352","34437"
1796,"2008/2009","p","penalty","73","38755",
1797,"2008/2009","n","shot","47","27267",
1797,"2008/2009","n","shot","61","24841",
1797,"2008/2009","n","header","87","35472","24663"
1798,"2008/2009","o","own-goal","31","30986",
1798,"2008/2009","n","shot","59","30843","39297"
1798,"2008/2009","n","shot","62","30843","30960"
1799,"2008/2009","n","shot","90","30865","30865"
1800,"2008/2009","n","shot","16","30960","23678"
1801,"2008/2009","n","header","68","30354","30895"
1801,"2008/2009","n","shot","90","25421","46403"
1802,"2008/2009","n","distance","1","23283","38807"
1802,"2008/2009","n","shot","30","33086","24006"
1802,"2008/2009","n","shot","54","23354",
1802,"2008/2009","n","bicycle_kick","90","33086","30876"
1802,"2008/2009","n","shot","90","23354","23264"
1803,"2008/2009","n","shot","8","30619","33852"
1803,"2008/2009","n","shot","24","30619","37799"
1803,"2008/2009","n","shot","60","23314","38755"
1803,"2008/2009","n","shot","90","40005","23253"
1804,"2008/2009","n",,"69","30889",
1804,"2008/2009","n","shot","79","24800","37139"
1804,"2008/2009","n","header","85","30646","37764"
1804,"2008/2009","n","distance","90","30618","37920"
1805,"2008/2009","n","header","6","25342","30509"
1805,"2008/2009","n","shot","27","24843","24741"
1806,"2008/2009","n","header","9","37804","25925"
1806,"2008/2009","n","bicycle_kick","21","30686","30699"
1807,"2008/2009","n","loose_ball","39","24664",
1807,"2008/2009","n","distance","58","30830","24653"
1808,"2008/2009","n","shot","79","42183","33754"
1808,"2008/2009","o","own-goal","82","22978",
1808,"2008/2009","p","penalty","85","23352",
1809,"2008/2009","n","header","12","40132","23352"
1809,"2008/2009","o","own-goal","22","30617",
1809,"2008/2009","n","shot","24","30618","37139"
1809,"2008/2009","n","shot","32","30618","24800"
1810,"2008/2009","n","header","22","30988","17866"
1810,"2008/2009","n","loose_ball","24","30988",
1810,"2008/2009","n","header","40","17866","38802"
1810,"2008/2009","p","penalty","47","33418",
1811,"2008/2009","dg","disallowed","54","30893","30893"
1812,"2008/2009","n",,"17","34261","23934"
1812,"2008/2009","n","shot","25","23264","43280"
1812,"2008/2009","o","own-goal","40","23934",
1812,"2008/2009","n","header","67","23264","23354"
1812,"2008/2009","n","shot","78","23354","23264"
1812,"2008/2009","n","header","86","23934","26454"
1813,"2008/2009","n","header","17","30960","30613"
1813,"2008/2009","n","header","29","24753","42183"
1814,"2008/2009","n","header","90","30876","24006"
1815,"2008/2009","n","shot","52","30619","33852"
1815,"2008/2009","n","shot","77","37799","37475"
1815,"2008/2009","n","shot","89","40565","24225"
1817,"2008/2009","n","shot","10","34466","35327"
1817,"2008/2009","n","shot","12","35327","34987"
1817,"2008/2009","n","shot","77","25150","35327"
1818,"2008/2009","n","shot","33","33781","37169"
1818,"2008/2009","n","shot","51","37804","30631"
1819,"2008/2009","n","shot","1","30829","30893"
1820,"2008/2009","n","shot","24","30843","26181"
1820,"2008/2009","n","volley","42","24635","25984"
1821,"2008/2009","o","own-goal","78","30687","30687"
1822,"2008/2009","dg","disallowed","84","36012","36012"
1823,"2008/2009","n","shot","12","29581","24224"
1823,"2008/2009","n","shot","29","31097",
1823,"2008/2009","n","shot","90","34574","30623"
1824,"2008/2009","p","penalty","9","34947",
1824,"2008/2009","n","loose_ball","18","34176",
1824,"2008/2009","n","loose_ball","27","34947","34176"
1825,"2008/2009","n","loose_ball","41","24843","24741"
1825,"2008/2009","p","penalty","54","30338",
1825,"2008/2009","n","shot","59","30956","30338"
1826,"2008/2009","n","shot","1","24372","24336"
1826,"2008/2009","n","shot","3","23937","24372"
1826,"2008/2009","n","header","20","30830","38820"
1827,"2008/2009","n","shot","69","23788","24171"
1827,"2008/2009","dg","disallowed","77","41073",
1827,"2008/2009","o","own-goal","84","36373",
1827,"2008/2009","n","header","90","32570","31731"
1828,"2008/2009","n","distance","10","38802","24408"
1828,"2008/2009","n","shot","19","23025",
1828,"2008/2009","dg","disallowed","73","26143",
1828,"2008/2009","o","own-goal","78","26066",
1828,"2008/2009","n","header","84","30988","38802"
1828,"2008/2009","n","shot","90","33418","30954"
1829,"2008/2009","n","shot","26","37920","30618"
1829,"2008/2009","n","shot","53","24635","30618"
1829,"2008/2009","n","shot","58","24635","24800"
1830,"2008/2009","dg","disallowed","47","30342","30342"
1832,"2008/2009","n","shot","40","39297",
1832,"2008/2009","n","shot","49","27277","30935"
1832,"2008/2009","p","penalty","64","23782",
1832,"2008/2009","n","shot","90","40128","23354"
1833,"2008/2009","dg","disallowed","10","36012","36012"
1833,"2008/2009","n","loose_ball","51","30876","30876"
1834,"2008/2009","n","shot","15","41622","24213"
1834,"2008/2009","n","shot","27","41622","24213"
1834,"2008/2009","n","shot","28","33974","24213"
1834,"2008/2009","n","shot","36","33974","30367"
1834,"2008/2009","n","loose_ball","80","23034",
1834,"2008/2009","n","shot","82","24213","33974"
1835,"2008/2009","n","shot","8","40987","30830"
1835,"2008/2009","n","shot","20","109898","34543"
1835,"2008/2009","psm","penalty-missed","45","30348",
1835,"2008/2009","n","shot","67","34543","30966"
1835,"2008/2009","n","shot","70","33781",
1835,"2008/2009","n","shot","83","33781","30734"
