"id","season","comment","subtype","elapsed","scorer","assister"
1878,"2008/2009","n","shot",60,"Rory Delap","James Beattie"
1878,"2008/2009","n","header",88,"Juliano Belletti","Franco Di Santo"
1878,"2008/2009","n","distance",90,"Frank Lampard","NA"
1879,"2008/2009","n","loose_ball",55,"Kenwyne Jones","Djibril Cisse"
1880,"2008/2009","n","shot",8,"Aaron Lennon","Jermain Defoe"
1880,"2008/2009","n","shot",21,"Jermain Defoe","Roman Pavlyuchenko"
1880,"2008/2009","n","header",25,"Michael Dawson","Luka Modric"
1880,"2008/2009","n","shot",57,"James Beattie","Matthew Etherington"
1881,"2008/2009","npm","saved_back_into_play",22,"Mark Noble","NA"
1881,"2008/2009","n","shot",33,"David Di Michele","Carlton Cole"
1881,"2008/2009","n","loose_ball",51,"Carlton Cole","David Di Michele"
1882,"2008/2009","n","shot",22,"Dimitar Berbatov","Michael Carrick"
1882,"2008/2009","n","loose_ball",44,"Carlos Tevez","NA"
1882,"2008/2009","dg","disallowed",53,"Dimitar Berbatov","NA"
1882,"2008/2009","n","header",60,"Nemanja Vidic","Ryan Giggs"
1882,"2008/2009","n","shot",65,"Cristiano Ronaldo","Ryan Giggs"
1882,"2008/2009","n","shot",73,"Cristiano Ronaldo","Dimitar Berbatov"
1883,"2008/2009","n","shot",21,"Emile Heskey","Gabriel Agbonlahor"
1884,"2008/2009","n","shot",41,"Yossi Benayoun","Javier Mascherano"
1884,"2008/2009","p","penalty",83,"Mido","NA"
1885,"2008/2009","n","header",61,"Tim Cahill","Leighton Baines"
1885,"2008/2009","n","shot",90,"Robin van Persie","Abou Diaby"
1886,"2008/2009","n","shot",17,"Shaun Wright-Phillips","Robinho"
1886,"2008/2009","n","shot",77,"Craig Bellamy","Pablo Zabaleta"
1886,"2008/2009","n","shot",81,"Andy Carroll","David Edgar"
1887,"2008/2009","n","shot",15,"Matthew Taylor","Ariza Makukula"
1887,"2008/2009","n","shot",35,"Kevin Davies","Gretar Rafn Steinsson"
1887,"2008/2009","n","shot",66,"Stephen Warnock","Bennedict McCarthy,27"
1887,"2008/2009","npm","saved",70,"Bennedict McCarthy,27","NA"
1887,"2008/2009","n","shot",87,"Bennedict McCarthy,27","Jason Roberts"
1888,"2008/2009","n","shot",58,"Salomon Kalou","NA"
1888,"2008/2009","n","header",80,"Salomon Kalou","Frank Lampard"
1889,"2008/2009","p","penalty",44,"Cristiano Ronaldo","Cristiano Ronaldo"
1891,"2008/2009","n","header",89,"Fernando Torres","Fabio Aurelio"
1891,"2008/2009","n","shot",90,"Fernando Torres","Yossi Benayoun"
1894,"2008/2009","n","loose_ball",32,"Djibril Cisse","Djibril Cisse"
1894,"2008/2009","p","penalty",69,"Shola Ameobi","Shola Ameobi"
1894,"2008/2009","dg","disallowed",80,"Andy Carroll","Andy Carroll"
1895,"2008/2009","n","shot",14,"Andrew Johnson","Clint Dempsey"
1895,"2008/2009","n","shot",71,"Erik Nevland","Simon Davies"
1895,"2008/2009","n","shot",80,"Erik Nevland","Simon Davies"
1895,"2008/2009","n","header",84,"David Nugent","Jermaine Pennant"
1896,"2008/2009","n","header",31,"Sebastien Puygrenier","Mark Davies"
1896,"2008/2009","n","shot",64,"Kevin Davies","Gary Cahill"
1896,"2008/2009","n","shot",73,"Darren Bent","Pascal Chimbonda"
1896,"2008/2009","n","shot",75,"Darren Bent","Wilson Palacios"
1896,"2008/2009","n","header",87,"Kevin Davies","Matthew Taylor"
1897,"2008/2009","n","shot",44,"Bernard Mendy","Ian Ashbee"
1897,"2008/2009","n","shot",53,"Jay Simpson","James Morrison"
1897,"2008/2009","n","header",69,"Craig Fagan","Bernard Mendy"
1897,"2008/2009","p","penalty",73,"Chris Brunt","NA"
1898,"2008/2009","n","header",45,"James Beattie","Matthew Etherington"
1899,"2008/2009","n","header",78,"Kenwyne Jones","Andrew Reid"
1899,"2008/2009","n","shot",90,"David Healy","Kenwyne Jones"
