"id","season","comment","subtype","elapsed","scorer","assister"
1764,"2008/2009","n","shot",29,"Darren Bent","Luka Modric"
1764,"2008/2009","n","shot",64,"Darren Bent","Jermaine Jenas"
1765,"2008/2009","n","deflected",40,"Nicolas Anelka","Jose Bosingwa"
1765,"2008/2009","n","shot",68,"Nicolas Anelka","Frank Lampard"
1766,"2008/2009","n","shot",23,"Andrew Johnson","NA"
1766,"2008/2009","n","shot",57,"Shola Ameobi","Obafemi Martins"
1766,"2008/2009","p","penalty",66,"Danny Murphy","NA"
1767,"2008/2009","n","shot",50,"Matthew Taylor","Gary Cahill"
1769,"2008/2009","n","direct_freekick",4,"Cristiano Ronaldo","NA"
1769,"2008/2009","n","shot",45,"Michael Carrick","Cristiano Ronaldo"
1769,"2008/2009","n","shot",49,"Dimitar Berbatov","Carlos Tevez"
1769,"2008/2009","n","distance",84,"Danny Welbeck","Manucho"
1769,"2008/2009","n","direct_freekick",89,"Cristiano Ronaldo","NA"
1770,"2008/2009","npm","saved",20,"Ashley Young","NA"
1770,"2008/2009","o","own-goal",70,"Gael Clichy","NA"
1770,"2008/2009","n","shot",80,"Gabriel Agbonlahor","Martin Laursen"
1772,"2008/2009","n","shot",8,"Gary O'Neil","Stewart Downing"
1772,"2008/2009","n","header",65,"Aiyegbeni Yakubu","Mikel Arteta"
1773,"2008/2009","n","distance",3,"Ryan Taylor","NA"
1773,"2008/2009","n","loose_ball",80,"Michael Owen","NA"
1773,"2008/2009","n","shot",87,"Obafemi Martins","Charles N'Zogbia"
1773,"2008/2009","n","header",89,"Titus Bramble","Daniel de Ridder"
1774,"2008/2009","n","header",45,"Christopher Samba","Morten Gamst Pedersen"
1774,"2008/2009","n","bicycle_kick",49,"Kenwyne Jones","NA"
1774,"2008/2009","n","shot",71,"Djibril Cisse","Steed Malbranque"
1775,"2008/2009","n","deflected",33,"Simon Davies","NA"
1775,"2008/2009","n","shot",70,"Andrew Johnson","Simon Davies"
1775,"2008/2009","n","shot",81,"Fraizer Campbell","David Bentley"
1776,"2008/2009","n","header",28,"Dirk Kuyt","Fabio Aurelio"
1776,"2008/2009","dg","disallowed",45,"Gary Cahill","NA"
1776,"2008/2009","n","header",73,"Steven Gerrard","Fernando Torres"
1777,"2008/2009","n","distance",34,"Jose Bosingwa","NA"
1777,"2008/2009","n","shot",38,"Nicolas Anelka","Florent Malouda"
1777,"2008/2009","n","shot",45,"Nicolas Anelka","Salomon Kalou"
1778,"2008/2009","n","shot",14,"Daniel Cousin,20","NA"
1778,"2008/2009","n","shot",37,"Stephen Ireland","NA"
1778,"2008/2009","n","shot",45,"Stephen Ireland","Javier Garrido"
1778,"2008/2009","n","direct_freekick",60,"Geovanni","NA"
1780,"2008/2009","n","deflected",20,"Valon Behrami","Valon Behrami"
1781,"2008/2009","n","shot",9,"Roman Pavlyuchenko","Aaron Lennon"
1783,"2008/2009","n","header",8,"Gretar Rafn Steinsson","Matthew Taylor"
1783,"2008/2009","n","shot",10,"Matthew Taylor","Gretar Rafn Steinsson"
1783,"2008/2009","n","shot",77,"Emanuel Pogatetz","David Wheater"
1783,"2008/2009","n","shot",78,"Johan Elmander","Fabrice Muamba"
1784,"2008/2009","n","loose_ball",45,"Stephen Ireland","NA"
1784,"2008/2009","n","shot",56,"Robinho","Shaun Wright-Phillips"
1784,"2008/2009","p","penalty",90,"Daniel Sturridge","NA"
1785,"2008/2009","n","header",20,"Peter Crouch","Younes Kaboul"
1785,"2008/2009","n","header",54,"Michael Turner","Kamil Zayatte"
1785,"2008/2009","n","distance",63,"Glen Johnson","NA"
1785,"2008/2009","o","own-goal",88,"Noe Pamarot","NA"
1786,"2008/2009","n","header",84,"Mamady Sidibe","Danny Higginbotham"
1787,"2008/2009","n","shot",51,"Henri Camara","Antonio Valencia"
1788,"2008/2009","dg","disallowed",55,"Joe Cole","Joe Cole"
1790,"2008/2009","n","shot",11,"Djibril Cisse","Steed Malbranque"
1790,"2008/2009","n","header",18,"Matthew Taylor","Gretar Rafn Steinsson"
1790,"2008/2009","n","shot",21,"Gary Cahill","NA"
1790,"2008/2009","dg","disallowed",30,"Djibril Cisse","NA"
1790,"2008/2009","n","shot",39,"Johan Elmander","Gary Cahill"
1790,"2008/2009","n","shot",55,"Johan Elmander","Kevin Nolan"
1791,"2008/2009","n","deflected",51,"Steven Pienaar","Mikel Arteta"
1793,"2008/2009","dg","disallowed",83,"Afonso Alves,24","Afonso Alves,24"
1794,"2008/2009","n","loose_ball",42,"Wayne Rooney","Michael Carrick"
1795,"2008/2009","n","header",49,"Peter Crouch","Glen Johnson"
1795,"2008/2009","n","shot",53,"Jermain Defoe","Niko Kranjcar"
1795,"2008/2009","n","header",62,"Matt Derbyshire","Morten Gamst Pedersen"
1795,"2008/2009","n","distance",67,"Tugay Kerimoglou","NA"
1795,"2008/2009","n","loose_ball",79,"Sean Davis","NA"
1796,"2008/2009","n","shot",45,"Marlon King","Dean Marney"
1796,"2008/2009","p","penalty",73,"Ricardo Fuller","NA"
1797,"2008/2009","n","shot",47,"Ishmael Miller","NA"
1797,"2008/2009","n","shot",61,"Henri Camara","NA"
1797,"2008/2009","n","header",87,"Emmerson Boyce","Jason Koumas"
1798,"2008/2009","o","own-goal",31,"Johan Djourou","NA"
1798,"2008/2009","n","shot",59,"Robin van Persie","Denilson"
1798,"2008/2009","n","shot",62,"Robin van Persie","Emmanuel Adebayor"
1799,"2008/2009","n","shot",90,"Nemanja Vidic","Nemanja Vidic"
1800,"2008/2009","n","shot",16,"Emmanuel Adebayor","Alex Song"
1801,"2008/2009","n","header",68,"Ledley King","Aaron Lennon"
1801,"2008/2009","n","shot",90,"Jamie O'Hara","Vedran Corluka"
1802,"2008/2009","n","distance",1,"Steve Sidwell","James Milner"
1802,"2008/2009","n","shot",30,"Joleon Lescott","Leon Osman"
1802,"2008/2009","n","shot",54,"Ashley Young","NA"
1802,"2008/2009","n","bicycle_kick",90,"Joleon Lescott","Tim Cahill"
1802,"2008/2009","n","shot",90,"Ashley Young","Gabriel Agbonlahor"
1803,"2008/2009","n","shot",8,"Michael Owen","Jonas Gutierrez"
1803,"2008/2009","n","shot",24,"Michael Owen","Obafemi Martins"
1803,"2008/2009","n","shot",60,"Mamady Sidibe","Ricardo Fuller"
1803,"2008/2009","n","shot",90,"Abdoulaye Faye","Glenn Whelan"
1804,"2008/2009","n","",69,"Xabi Alonso","NA"
1804,"2008/2009","n","shot",79,"Yossi Benayoun","Dirk Kuyt"
1804,"2008/2009","n","header",85,"Roque Santa Cruz","Andre Ooijer"
1804,"2008/2009","n","distance",90,"Steven Gerrard","Albert Riera"
1805,"2008/2009","n","header",6,"Benjani Mwaruwari","Pablo Zabaleta"
1805,"2008/2009","n","shot",27,"Jimmy Bullard","Bobby Zamora"
1806,"2008/2009","n","header",9,"Nicolas Anelka","Jose Bosingwa"
1806,"2008/2009","n","bicycle_kick",21,"Deco","Michael Ballack"
1807,"2008/2009","n","loose_ball",39,"Jonathan Greening","NA"
1807,"2008/2009","n","distance",58,"Peter Crouch","Sean Davis"
1808,"2008/2009","n","shot",79,"Tuncay Sanli","Justin Hoyte"
1808,"2008/2009","o","own-goal",82,"Ross Turnbull","NA"
1808,"2008/2009","p","penalty",85,"Marlon King","NA"
1809,"2008/2009","n","header",12,"Paul McShane","Marlon King"
1809,"2008/2009","o","own-goal",22,"Jamie Carragher","NA"
1809,"2008/2009","n","shot",24,"Steven Gerrard","Dirk Kuyt"
1809,"2008/2009","n","shot",32,"Steven Gerrard","Yossi Benayoun"
1810,"2008/2009","n","header",22,"Kenwyne Jones","Andrew Reid"
1810,"2008/2009","n","loose_ball",24,"Kenwyne Jones","NA"
1810,"2008/2009","n","header",40,"Andrew Reid","Steed Malbranque"
1810,"2008/2009","p","penalty",47,"Djibril Cisse","NA"
1811,"2008/2009","dg","disallowed",54,"Cristiano Ronaldo","Cristiano Ronaldo"
1812,"2008/2009","n","",17,"Johan Elmander","Kevin Davies"
1812,"2008/2009","n","shot",25,"Gabriel Agbonlahor","Martin Laursen"
1812,"2008/2009","o","own-goal",40,"Kevin Davies","NA"
1812,"2008/2009","n","header",67,"Gabriel Agbonlahor","Ashley Young"
1812,"2008/2009","n","shot",78,"Ashley Young","Gabriel Agbonlahor"
1812,"2008/2009","n","header",86,"Kevin Davies","Gretar Rafn Steinsson"
1813,"2008/2009","n","header",17,"Emmanuel Adebayor","Cesc Fabregas"
1813,"2008/2009","n","header",29,"Jeremie Aliadiere","Tuncay Sanli"
1814,"2008/2009","n","header",90,"Tim Cahill","Leon Osman"
1815,"2008/2009","n","shot",52,"Michael Owen","Jonas Gutierrez"
1815,"2008/2009","n","shot",77,"Obafemi Martins","Jose Enrique"
1815,"2008/2009","n","shot",89,"Danny Guthrie","Shola Ameobi"
1817,"2008/2009","n","shot",10,"Emile Heskey","Antonio Valencia"
1817,"2008/2009","n","shot",12,"Antonio Valencia","Mario Melchiot"
1817,"2008/2009","n","shot",77,"Lee Cattermole","Antonio Valencia"
